"","x"
"999",1.53526379694681e-09
"1000",1.53526379694681e-09
"1001",1.53526379694681e-09
"1002",1.53526379694681e-09
"1003",1.53526379694681e-09
"1004",9.71472636374005e-10
"1005",9.71472636374005e-10
"1006",6.34803246835855e-10
"1007",6.34803246835855e-10
"1008",5.18631613545862e-10
"1009",4.2645884089941e-10
"1010",2.93490890901964e-10
"1011",2.93490890901964e-10
"1012",2.93490890901964e-10
"1013",2.06313789834425e-10
"1014",1.74227906996343e-10
"1015",1.74227906996343e-10
"1016",7.96168144107628e-11
"1017",5.96901400005919e-11
"1018",5.96901400005919e-11
"1019",5.96901400005919e-11
